@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute positiveW NUMERIC
@attribute negativeW NUMERIC
@attribute positiveE NUMERIC
@attribute negativeE NUMERIC
@attribute feelingcategory {positive,negative,neutral,objective}
@data
'	 mon avila!    tagged    guy  looks like  kid bill murray was researching   royal tenenbaums!  tigers ',neutral,1,0,2,0,positive
'	 lovemccurdyjenn  ™¥ ',positive,0,0,0,0,objective
'	good morning thursday  "life  fragile    not guaranteed  tomorrow          tim cook   jobs!] ',positive,1,0,0,0,positive
'	 broncos peyton manning named afc offensive player   month      th  honor    tom brady     tied   td  ',neutral,0,0,0,0,objective
'	 jackseymour       android phone      back  school!  ) ',positive,0,0,2,0,positive
'	homegrown talent missing  signing         wednesday   video scoreboard        raleigh ',negative,0,1,0,0,negative
'	taylor swift  coming   sheeran june   th   perf news   heard  night  ',positive,0,0,0,0,objective
'	 great noel gallagher    hit  stage  st  paul    room      th row center    room  pretty fired up ',positive,2,1,0,0,positive
'	 hope    promoted     tail  like last season    piss  southern media   hello   welcome    boro   shithole ',objective,2,0,0,0,positive
'	playing   browns hc   fri   madden    xfacalac lost   ravens         madden  connectedcareers ',neutral,1,1,0,0,neutral
'	 cfc  juanmata     best   premier league!   ea sports player performance index score       st place)  matamagic ',positive,1,0,1,0,positive
'	ohhh nairobi leggings ðÿ˜�ðÿ˜�ðÿ˜� ',negative,0,0,0,0,objective
'	 pain   deeper   billy cundiff missed field goal  gotta wake up  forget   tomorrow   orioles  stayhungry ',neutral,0,2,0,0,negative
'	 grandvincenzo  november     ready  head   movies  breaking dawn  part     ',positive,1,0,1,0,positive
'	tomorrow  consist  watching  ferrell films   fave people  chinese food  sweet  ',positive,1,0,0,0,positive
'	alex poythress     points    rebounds   debut  kentucky   exhibition game  thursday   played    minutes  ',objective,1,0,0,0,positive
'	 think     heart attack  jason wu  new collection   charlotte rampling   night    ¦ ',positive,0,0,0,0,objective
'	amazing concert tonight  jim white   tcu jazz ensemble faculty jazz combo!    tomorrow night      ',positive,0,1,1,0,neutral
'	 nationals  th inning   th quarter  redskins" feel  didn    coulda swore   cundiff shank    mound  ',neutral,0,0,0,0,objective
'	capello says   russia  win big match  russia manager fabio capello  thursday    intended       ',positive,1,0,0,0,positive
'	jackals goal! jimmy martin sneaks  rebound  killeen   elmira      lead  bushee   bellamy   assists      left  nd period ',neutral,0,0,1,0,positive
'	kick   weekend  service! ev!     bus trip   boys   girls club  friday     hope      ) ',positive,1,0,3,0,positive
'	" paperchasinal  damn  saturday tho" niggas was trynna  shit    early ',negative,0,0,0,0,objective
'	blog post  mtv  "teen mom  returns   intense  season  chelsea  jenelle  kailyn  leah  monday       ',objective,0,0,0,0,objective
'	 elifyk  hi elif greetings  usa midwest   school   happy turkish republic  can  wait  nov    newglee yes! ',positive,1,0,2,0,positive
'	hoping  look fit tomorrow   jeremy kyle   itvfashion ',positive,1,0,0,0,positive
'	grammys concert pays moving tribute  whitney houston  whitney houston was   final sendoff   grammys  thursday  halle    ',positive,0,0,0,0,objective
'	 tallied up  votes   announcing  winners  calling  communities! tune     nov  st    am (cst) ',neutral,0,0,1,0,positive
'	halloween     worst holiday  right  valentine   ',negative,0,1,0,0,negative
'	 found  piece  candy     injected      ',negative,0,0,0,0,objective
'	  managed  "lose"  princess leia bra  saturday      noel gallagher  "glock  phish"  jorts tank   custymcnoob ',neutral,0,1,0,0,negative
'	 suggest  child friendly apps  ipad   not  child friendly  well  ) ',neutral,0,0,1,0,positive
'	 moments last night   can  tell     halloween     ordinary night  camden  drinkup ',neutral,0,0,0,0,objective
'	  ready  shop  new collection    tomorrow    grey concept      fashion  shopping  highstreet ',neutral,1,0,0,0,positive
'	faq     skeuomorphic design    executive shakeup  apple  san francisco  ca   march     apple ceo       ',objective,0,0,0,0,objective
'	um   learned  sunday  national chocolate     totally  advantage    ',positive,0,0,0,0,objective
'	noel gallagher  "musicians  fucking idiots   yeah  brian       idiot     idiot    happens    professor  ',negative,0,2,0,0,negative
'	 hope_forhippies hell yea lmfaoo       tomorrow asia baby  ',positive,1,1,1,0,positive
'	 real_liam_payne  wanted   know    argentina      directioner fest    november  amo  amo  amo! ',neutral,0,0,1,0,positive
'	 november    christmas       new    valentine    graduation ! ',neutral,0,0,0,0,objective
'	niggas    lakers dick     gon finish damn  first seed    yo team  struggling    th spot ',negative,0,0,0,0,objective
'	yep ˜º strong man      october rt stevenb       reditlhabi nothing wrong  dt  moral compass            " ',positive,0,0,0,0,objective
'	  tickets   muse  florida    combined   grammys   prior  equals   busy february  ruby    ',objective,0,0,0,0,objective
'	battle     th banner  royal rumble basketball edition ',objective,0,0,0,0,objective
'	 th album   red     millionswifties    grammy awards     amas     bmi awards! reigning entertainer    acm!   yearstaylorswift ',positive,0,0,2,0,positive
'	  midnight   east coast  means   nickjonas birthday! happy   th birthday nick !!!!!!!!!!      ',positive,1,0,1,0,positive
'	monta ellis   ellis    points        shooting thursday    nba  playersnews ',neutral,0,0,0,0,objective
'	  teach  basketball    school    gonna spend   st  watching larry bird videos     rest   care    ',neutral,1,0,0,0,positive
'	    nbcofchicago     th anniversary celebration                  king dr ',positive,0,0,0,0,objective
'	 mysticvalley mitch   free  sunday  bale leaves   hour   not no big deal  can    animals ',objective,1,0,0,0,positive
'	love   skipped  category   nta    soaps  couldn     fuck       air tomorrow  ',positive,1,1,0,0,neutral
'	new york giants  game  game predictions    nd    season   ',objective,0,0,0,0,objective
'	 mon  mon does sound like queen    rock      ',objective,1,0,0,0,positive
'	pick  chelsea team  play swansea   chelsea  focus now turns back   premier league   saturday        ',objective,1,0,0,0,positive
'	   vision   european airports full  hockey players  ',neutral,0,0,0,0,objective
'	 mom  texted  reminding   grammys birthdays tomorrow    could   forget   biggestdayoftheyear ',positive,0,0,0,0,objective
'	 mark  athena   goooo  brb reality ',positive,0,0,0,0,objective
'	esperance    star player youssef msakni   first leg   champions league final against  ahly  saturday   africa ',negative,0,0,0,0,objective
'	 chrischris__  sun  paolo  canio says beating aston villa tonight would  like  sex  madonna   legend ',negative,1,0,0,0,positive
'	black history   marsalis    st   artist  win  classical  jazz grammy awards       repeat   yr ',positive,1,0,0,0,positive
'	watching david letterman  no audience  playing like        nd  brilliant     tonight  ',positive,2,0,0,0,positive
'	ht  norwich      spurs    edged   st   creating  clear cut chances  bale    couple  decent  range efforts  ',neutral,0,1,0,0,negative
'	guys   marijuana law  colorado  oregon   washington can pass  tuesday   highhopes ',positive,0,0,0,0,objective
'	breezin  won  best pop instrumental performance     th grammy awards ',positive,2,0,0,0,positive
'	not wearing  up  dublin tomorrow     ready   party  help  ',negative,1,0,0,0,positive
'	snow  fall  parts  cny    days  find    best chances           tv   online   ',neutral,1,0,0,0,positive
'	  like austin rivers  tryin      bucket   feel  tho   st game   league  was trying hard  ',neutral,1,0,0,0,positive
'	text   dad  like charles dickens"  obvs looking   amazon wish list late  sunday)   th surprise ! ',positive,1,0,0,0,positive
'	upset alert  acc men  soccer     maryland       wake forest late    nd      man   earlier red card  ',negative,0,0,0,0,objective
'	   missed   noel fielding  rich fulcher today    did   tom tilley!  samsimmons ',neutral,0,1,1,0,neutral
'	thankfully    germany now    home  january   dangerous   ',negative,0,0,0,0,objective
'	looper was amazing!!! now   theatre   simon callow    mystery  charles dickens     loving  wednesday  work   ) ',positive,0,0,2,0,positive
'	    october baby   happy valentine     folks        annual memory ',positive,1,0,0,0,positive
'	wish maddie luck  saturday   has  solo audition  britain   talent!  ~ ellie xxxxx ',positive,1,0,2,0,positive
'	   joe pa masks  penn state sat    psu  allow    stadium    bad  wear    espngreeny ',neutral,0,1,0,0,negative
'	 matt murphy     think      up  yesterday   pretty intense    ',negative,1,0,0,0,positive
'	mizzou commemorates  win  kentucky    shirt  no    dr  saturday   yahoo! sports     fb ',positive,2,0,1,0,positive
'	 desean jackson returned  punt against giants   was awesome ',neutral,1,0,0,0,positive
'	happy valentine  !!!  maziing  everyday     th! ',positive,1,0,2,0,positive
'	   finish reading paterno  tomorrow   can watch football sunday  monday  prepare    nba   release     pagesleft ',objective,0,0,0,0,objective
'	 sumeetkulkarni season ends  superbowl  first   february  ',objective,0,0,0,0,objective
'	  introduction  literature  wrote   woman  black  not   particulalry want  read    cry  shitmyself ',negative,0,1,0,0,negative
'	"nick        powder puff pants  looks like   gonna   stud tomorrow   lights   l_starcevich  n_jeffries   ',positive,1,0,0,0,positive
'	han mon dieu  remix     best  dream high    je meurs xddd ',positive,1,0,0,0,positive
'	  forget mitch daniels      steven colbert   thursday  think    up   topic  ',neutral,0,0,0,0,objective
'	 barackobama   would think  would      running  potus     part   job someday  ',neutral,0,0,0,0,objective
'	grammy  caleb  freeport tomorrow chalee  ',neutral,0,0,0,0,objective
'	 dapper_dan       plans    cvs  work today                quarantine  today ',objective,0,0,0,0,objective
'	full moon oct   th   can read      sun sign  libra  scorpio  sag  cap  aqua  pisces   ',neutral,0,0,0,0,objective
'	drew peterson   convicted      conflict      whenwillitend  localnews  chicago ',neutral,0,0,0,0,objective
'	 wfan    paterno wouldnt  charged   hearsay     did   job (minimal     reported   rest  speculation  ',neutral,0,0,0,0,objective
'	  benson  attention  frankie feels like  forgotten stepchild  lets  founding father     know   never forget  nd place  ',negative,1,0,0,0,positive
'	police  protesters clash  republic  march  turkey     marking    th anniversary   founding       ',negative,0,0,0,0,objective
'	congratulations   braves jason heyward  gold glove honor   first      hey kid! ',negative,0,0,1,0,positive
'	aww love  austin rivers  happy     start   st nba game      against  boys  lets  spurs!  spurs  nba ',positive,2,0,1,0,positive
'	steven  smith    biggest ass hat   espn     thats not easy ',positive,0,0,0,0,objective
'	patrick roy  last game   canadien     selections   weekend  hnic rewind  ',positive,0,0,0,0,objective
'	   huge mistake   new york marathon   held  weekend      homes  food  power  ',negative,0,0,0,0,objective
'	 glass   rising     not   warmer   lago  desierto  argentina   ',negative,0,0,0,0,objective
'	apple software  retail chiefs   overhaul  san francisco (reuters)   apple  ceo tim cook  monday pushed   powerful hea    ',neutral,0,0,0,0,objective
'	  hosting   party   spartacus friday          spy  raleigh  night! ',objective,0,0,1,0,positive
'	 ain   nun  work today  sorting    ',objective,0,0,0,0,objective
'	fabio capello       days  can assure  russia  capable    good result  portugal tomorrow"   cantwait ',positive,1,0,0,0,positive
'	parker  leonard steal okc  thunder   minutes  tipoff thursday night     center  oklahoma ci      ',negative,0,0,0,0,objective
'	 kreuzer_      hope  finish  trade  tuesday  wednesday  gagner   real solid player  could help  sabres ',positive,1,0,0,0,positive
'	       girl   face   earth  doesn  find channing tatum attractive   callmecrazy  justsayin  donthateme ',negative,0,0,0,0,objective
'	cold pizza  mass effect     want  leg healed!!   look up  voodoo shit     walking  jumping  running tomorrow  ',neutral,0,0,1,0,positive
'	channing tatum    white oak tomorrow      stalkers   ',neutral,0,0,0,0,objective
'	games played     now  interesting  super sunday! ',positive,2,0,1,0,positive
'	 hulu video game trailers   launch trailer  check   launch trailer  mass effect    added  fri oct            ',objective,0,0,0,0,objective
'	   defense        kcabe    pastorjoshg  ryan   corylethgo ',positive,0,0,0,0,objective
'	stacie  hit  up    packages   up  tomorrow     case   not    rave  san fran   priorities ',negative,0,0,0,0,objective
'	    mins  candy  dancer  deja vu   nutting    th pump   bad lol ',negative,0,1,0,0,negative
'	kevin hart   msg  november   th     beautiful ',positive,0,0,0,0,objective
'	rt tutte  anche se non li vedremo  non costa niente   welcometoitalyonedirection  love  guys  ',positive,1,0,0,0,positive
'	 shootingrocks cof cof~     germany  november       oh   envy    ',positive,0,0,1,0,positive
'	thank  snow  cancelling classes today  now    snowing     can drive  chapel hill tomorrow     appreciate  ',positive,1,0,0,0,positive
'	 entrepreneur  angelinvestor pitch    new birthday party   super bowl sunday treat  ',positive,2,0,0,0,positive
'	 oilersmobile  july     sam gagner    gagns   nice         ! ',positive,0,0,1,0,positive
'	think     flight tomorrow   denzel washington    ',positive,0,0,0,0,objective
'	mohamed nasheed  press brief  coni report      aug           youtube ',objective,0,0,0,0,objective
'	calling  reality tv fans    inviting li reality tv stars  join  google  hangout  sunday   can     ',objective,0,0,0,0,objective
'	honesty  often best policy  fabio capello  russia coach  was hoping ronaldo  injury was  serious   couldn  play tomorrow " ',negative,3,1,0,0,positive
'	  austin rivers  st game  people sucking    rookie chill ! ',negative,0,0,1,0,positive
'	 goatmilkstuff hello    ask  did    set  castle  ',neutral,0,0,0,0,objective
'	throwback thursday! daddy  joe pa! rip     eyes     winningest coach  college footbal   ',positive,0,0,2,0,positive
'	     oilers  indeed announce  gagner signing     hrs    very connected edmonton source   msm clueless ',negative,0,0,0,0,objective
'	 enjoying celebrity juice        fooked tomorrow  ',positive,0,0,0,0,objective
'	 woman  black    legendary ghost thriller  touring  dubai  abu dhabi  november   december        ',positive,0,0,0,0,objective
'	can    wednesday  potus has   elected    can move  country  ! ',neutral,0,0,1,0,positive
'	 universe definitely expanded  studying  physics   dannicolee  jessiewagnon pic twitter com  pwtb yp ',negative,1,0,0,0,positive
'	 hcafc loan keeper ben amos named   england    side  face azerbaijan  thursday  norway  sept     ',objective,0,0,0,0,objective
'	norv turner calls  play action pass   st   goal    yard line  rivers throws  pick   chargers ',objective,1,0,0,0,positive
'	obama         electoral votes    bets   joenbc  morningmika ',neutral,0,0,0,0,objective
'	" amianatyransky  frankie   think   gonna   date   bed tomorrow       boy ',positive,0,0,0,0,objective
'	pray  mohamed morsi  new president  egypt    continue    leader  freedom  peace    ',positive,0,0,0,0,objective
'	  jiiiii nob!  ',neutral,0,0,2,0,positive
'	axl rose     up  now  not   not   not tomorrow  now! ',negative,0,0,1,0,positive
'	shout    boy  jshapmma  fights tomorrow night    vegas  rfa card    put   work       wish  luck  ',positive,1,0,0,0,positive
'	 moms bday      days omg     should       sagittarius ',positive,0,0,0,0,objective
'	     isle  man  thurs     talking  safe house  signing books  waterstones      pm   waterstonesiom ',objective,0,0,0,0,objective
'	pbr    mokbpresents bring  jim white    do    lounge  october   rd    pm!   ',neutral,0,0,1,0,positive
'	happy halloween!! starting  wicked wednesday  listening  pink floyd  leonard cohen      boys  tonight! yay!! ',positive,2,0,3,0,positive
'	austin rivers    stronger   spurs guards muscling  tonight   started   now scored   th   hornets ',negative,0,0,0,0,objective
'	 sunday november  th olympus experts    hand   currys store  cambridge        am       ',objective,0,0,0,0,objective
'	okay    megnicolelewis    watch  woman  black      terrible night  ',negative,1,0,0,0,positive
'	 real_liam_payne saturday  buy  ticket    tmhtour  belgium!    happy!!!! ',positive,1,0,2,0,positive
'	 goes   fast           avril lavigne  concert    october             best    life   ',positive,1,0,0,0,positive
'	  supremejuice_   pull up   scion    pull up   _______      honda civic wagovan ',neutral,0,0,0,0,objective
'	yep    true  torchlight    great game  ',neutral,1,0,0,0,positive
'	"  continents was  challenge filmed  "   okay   did  fail  nd grade  ',negative,1,0,0,0,positive
'	 timocchipinti      boys  girls club  clean tomorrow    am   told   bring boots  gloves    welcome  ',positive,0,0,0,0,objective
'	david letterman   interesting   monday    located  new york city     hurricane       ',positive,0,0,0,0,objective
'	november   birthday month  election    weekend  san fran   adamrgarcia  naples  thanksgiving  lots  friends   family  yes  ',positive,0,0,0,0,objective
'	   angela  rt  lestae  justsidi      can   lens   wait   years   gun shuqi  ready  help  haha ',neutral,1,0,0,0,positive
'	    tv    now   waiting   call  itv  dancing  ice   starting  think     famous  ',negative,0,0,0,0,objective
'	slap shot  nash  back  injury  skates  davos  rick nash   new york rangers returned  action  switzerland  tuesday  ',objective,0,0,0,0,objective
'	nikon prostaff  can  wait      shoot tomorrow! pic twitter com  dqmhu ',positive,0,0,1,0,positive
'	 ap  hope   sure   care  eli manning  giants  pittsburgh  sunday  nfl ',positive,2,0,0,0,positive
'	     tickets   leonard cohen  rosemont  il  november      can     interested  face value         ',neutral,1,0,0,0,positive
'	 mctachyon  peaisonfire ',objective,0,0,0,0,objective
'	 mittromney   romney   not  able  vote  britain   completley support  !!! good luck ! ',positive,3,0,2,0,positive
'	wwe  raw should  interesting     road dogg returned  wwe   royal rumble  shawn michaels      raw monday ',positive,0,0,0,0,objective
'	"kendrick perkins led  league    th    row  spm (scowls  minute)" literally laughed  loud ',positive,0,0,0,0,objective
'	  mufc xi  super sunday   gea  rafa  rio  evans  evra  clevz  nani  young  roo  chicha  rvp      ',objective,1,0,0,0,positive
'	eli manning best  th quarter qb   game! ',positive,1,0,1,0,positive
'	   want  love like jonny  june   want  love like blake  miranda  ',objective,4,0,0,0,positive
'	lin picks up  loose ball   trucks stuckey  unfortunately    not allowed   bench   th foul  pistons reclaim lead         ',negative,0,0,0,0,objective
'	not sure       halloween   sun shine    obvious  larry bird    runner   right now  ',negative,0,0,0,0,objective
'	 cundiff would    field goal sunday   could   eatin   free  in sub  subway  lunch! ',neutral,1,0,1,0,positive
'	 personally    grammy playing afl        think   turn    now  best  luck       ',positive,3,0,0,0,positive
'	 feel  bad    boo asia bday event  cancelled   sunday!     was soooo looking    ',negative,0,1,0,0,negative
'	dirty jim   close      not     started hearing comparisons  cundiff   town  ',neutral,0,0,0,0,objective
'	  mid tennessee   western kentucky game   hear   gonna play   nd annual ogalla  nebraska snail chuckin  pageant  ',neutral,1,0,0,0,positive
'	  sophia grace  rosie! can  wait     ellen tomorrow! xxx  theellenshow  princesssgb  princessrgm pic twitter com abvxnwqb ',positive,1,0,2,0,positive
'	    bullet   valentine   academy glasgow  glasgow  united kingdom   mar      ',neutral,0,0,0,0,objective
'	people   power travels  egypt     april  th activists   faring  mohamed morsi  election  ',objective,0,0,0,0,objective
'	shit  yeah    thursday  russell howards good news  celebrity juice   ',positive,1,0,0,0,positive
'	pretty good thursday night   juliecbirch!   rivers would  sucking  bad!     qualcomm stadium   ',positive,2,1,2,0,positive
'	 can not change yesterday   can         look  hope  tomorrow  (anonymous) ',negative,1,0,0,0,positive
'	  wonderful workshop  thursday  sag office  carol nadell  selective casting           ',positive,0,0,0,0,objective
'	 sarahjenne  nd  ryan budget was   years ago    didn     mitt        president    ',objective,0,0,0,0,objective
'	 does  want   eli manning credit   win   truth  sunday  game should    blowout  ',neutral,1,0,0,0,positive
'	charles dickens        life   thisisme   ',neutral,0,0,0,0,objective
'	  buffalo wild wings tomorrow   life  friend israel   brother       call  good night   knicksnation ',positive,1,0,0,0,positive
'	    pm tomorrow night    date  denzel!  flight  can  wait! ',positive,0,0,2,0,positive
'	apple ceo apologizes  error ridden new map app   apple ceo tim cook apologized friday   company       erro      ',positive,0,0,0,0,objective
'	new  hard movie coming  feb      looks like bruce willis      valentines date ) ',positive,1,0,0,0,positive
'	 liked   youtube video   anonymous   remember  remember   th  november ',positive,1,0,0,0,positive
'	hello man  pointy  multicoloured  snake skin cowboy boots   suit  axl rose  hair      friday heart  happier  ',positive,0,0,0,0,objective
'	chael starts  fuel tv  october  st ',objective,0,0,0,0,objective
'	hmm   think   living  movie ground hog   grandma jan  isaac  back   weekend ',objective,0,0,0,0,objective
'	gotta   flight tomorrow denzel   greatest actor  ',positive,0,0,0,0,objective
'	! rt  dianasproveri    yvettenbrown happy  "yvette" lemon lavender  cupcakes now   coffeeplusfood!   ',negative,1,0,2,0,positive
'	anonymous asked  beard tweetd  intense message    tuesday abit   halloween partys        ',neutral,0,0,0,0,objective
'	 ladsontour mon  boys !!!!!!!!!!!!!!!!!!!!! theres     missin  banjoooooooooooooooooo  nooooooooo ',neutral,0,0,0,0,objective
'	axl rose   bose   rolls    concrete    rose  rose  counted up   dollars fore  sun rose ',neutral,0,0,0,0,objective
'	played dishonored    darksiders      mass effect       last    hours     ¦ ',neutral,1,0,0,0,positive
'	scariest man alive  kendrick perkins  close  nd jemelehill ray lewis     human   not born   indoor voice ',negative,0,0,0,0,objective
'	can  live   video  soul train line   whip dazz band mpg      youtube ',positive,0,0,0,0,objective
'	chargers           playoffs  afc    nfc teams  win    games!  mikehillespn  mortreport  edwerderespn  pti ',neutral,1,0,2,0,positive
'	 sat   room sticking  postcards  tehran   wall  god knows     has nobody invented  teleporting machine   ',negative,0,0,0,0,objective
'	  find        weekend ahead     ',positive,0,0,0,0,objective
'	hahahaha spanish people  nadal  box  smiling   break    th set hahahahahaha  rewatchingaofinal ',positive,0,0,0,0,objective
'	sick beard  download finished   rd rock   sun        dick puts   id   cupid ',objective,0,0,0,0,objective
'	sundays   sag  like  friday  idaho     boring  fuck! ',negative,1,2,1,0,neutral
'	 monday   back   old job   fourth    life   groundhog  movie  ',objective,0,0,0,0,objective
'	harry redknapp   heavily linked   position  blackburn manager today    qpr   begun courting      ',neutral,0,0,0,0,objective
'	 _warrendavis packers  win superbowl xlvii ',negative,1,0,0,0,positive
'	yo   excited  royal rumble  book  monday  work   can watch  ',positive,0,0,0,0,objective
'	 nickjonas happy   th birthday nick hope      best!   accomplished              love ! ',positive,4,0,3,0,positive
'	 factsaboutme   was born        was   nd   chinese new       gotten lots  redpacket   ',positive,0,0,0,0,objective
'	monta ellis   ellis    points        shooting  friday against    nba ',objective,0,0,0,0,objective
'	  baltimore team mascots  up missing  st person  interest should  billy cundiff!   redskins mascot   blame ! ',neutral,0,1,2,0,positive
'	 hope  can   ticket     concert  belgium!!! can  order   saturday!pfff     ',positive,1,0,2,0,positive
'	 fat oasis   edmonton sun   fat oasisedmonton sunpoor noel gallagher    up      new ba      ',objective,0,1,0,0,negative
'	egypt  morsi  red carpet welcome  iran  tehran  aug     egypt  mohamed morsi   iran   first visit      ',positive,0,0,0,0,objective
'	 seattle  portland  knit   covered   california sun     san fran  kinda love   ',positive,1,0,0,0,positive
'	estou ouvindo brown eyes live   friday   jonathan ross   lady gaga    lastfm ',neutral,0,0,0,0,objective
'	niggas was  fighting   gas station sat night tho ',negative,0,0,0,0,objective
'	 fueltv  danaehite   holland  countdown  ufc      silva   bonnar  debuts tuesday  fuel tv   ',objective,0,0,0,0,objective
'	   aubig black leather camera case bag pouch case  strap  olympus   omd em    cyber monday deals    ¦ ',neutral,0,0,0,0,objective
'	 raggyrach  wednesday    disney   no chance avril     universal night  wimp ',negative,0,0,0,0,objective
'	 corrreen bullet   valentine       want      presale starts tomorrow morning! ',neutral,0,0,1,0,positive
'	yay bruno mars  coming    new album  december   th     !! ',positive,1,0,1,0,positive
'	  like     fuck "happy valentines  trending     th  june   anyways    knew    celebrated  brasil  xx ',positive,2,1,0,0,positive
'	 immortaltech dublin  saturday    gotta    guinness!! ',neutral,0,0,1,0,positive
'	 addicted  temple run    worst    happened   haha  ',negative,0,1,0,0,negative
'	 justinbieber  gonna   louisville  kentucky tomorrow    can        guess    sit  listen   music   pretend ',negative,0,0,0,0,objective
'	 loanwatch  ben amos (hull city)  extra          st    league cup  ',neutral,0,0,0,0,objective
'	michael jackson bad     air november     abc   sure  watch   ',objective,0,1,2,0,positive
'	 bryn renner forget  dook now    series anyways!   "beat state"  saturday   continue    succesful season  ',positive,0,0,1,0,positive
'	theo  evra  saturday  wenger   happen  ',positive,0,0,0,0,objective
'	looking     illegal eagles  dorking tomorrow night  lin   amigo  best eagles tribute band    illegaleagles ',positive,1,0,0,0,positive
'	happy valentines     brazilian friends! ',positive,1,0,1,0,positive
'	anonymous asked  would    chance     topless tuesday    ',neutral,0,0,0,0,objective
'	pakistan approves liberalised visa accord  india   islamabad  nov   (ians) pakistan has approved  liberalised       ',positive,0,0,0,0,objective
'	fabio capello (russia  head coach) wishes cristiano  injury was  serious  (russia  play against portugal tomorrow   wcq) ',negative,1,1,0,0,neutral
'	hey nevada tweeps remember tomorrow   last   early voting! ready  set   vote!  justdoit! ',neutral,1,0,3,0,positive
'	observers    eu  cw    coni      observers   maldivian   live   tvs    feb   dream  ',neutral,0,0,0,0,objective
'	fuck halloween  fuck thanksgiving  fuck  birthday  fuck christmas   new   valentines  st  patrick   april fools  fuck     ',negative,0,5,0,0,negative
'	 mother    gucci mah nigguh!"     think     listening  "niggas  paris"  should   worried  ',neutral,0,0,0,0,objective
'	     dumb        now   new   term goal   challenge    ¦ ',neutral,0,0,0,0,objective
'	highlight  monday was chucking  mattress   stairs  hit eleanor   face  causing   fall   stairs ',neutral,0,0,0,0,objective
'	loved  hair style  friday  jason wu  nyfw     giving   step  step  recreate  look   ',positive,2,0,0,0,positive
'	sad    knutsfordlitfest    end  fantastic event last night  michael portillo  last event tomorrow  charles dickens  ',neutral,0,1,0,0,negative
'	  profile  sandro    kind  love   ',positive,3,0,0,0,positive
'	 echelleprakash  st  like imma play headlock    safe  sound   now  gonna play  star  hmmmm ',neutral,3,0,0,0,positive
'	dad         athens tomorrow    nothing  dad  oh     fun   like  father  ',positive,3,0,0,0,positive
'	   surprised   end up waiting  november   th  find     potus      ohioprovisionalballot  ',negative,0,0,0,0,objective
'	rugby tonight    like freezing omg    ',negative,1,0,0,0,positive
'	   rugby practice  sunday  somethingisayalot ',objective,0,0,0,0,objective
'	  mercury prize  tv      field music   vote      win tomorrows gig should   blinder! ',positive,1,0,1,0,positive
'	asia stocks  up    china data  asian stock markets advanced friday   batch  upbeat economic data       chi    ',positive,0,0,0,0,objective
'	breaking dawn  coming      th   yayyy ',positive,0,0,0,0,objective
'	celebrate  chinese new    shanghai february)    dragon dance   spring festival! amazing experience! ',positive,0,0,2,0,positive
'	disappointing    uk govt issueing reassuring messages  tehran     influenced   nigel_farage  ) ',negative,0,0,1,0,positive
